sn,district,municipality_eng,municipality_nep,type,code
655,salyan,tribeni,त्रिवेणी,rural,60909
656,salyan,kapurkot,कपुरकोट,rural,60910
657,surkhet,simta,सिम्ता,rural,61001
658,surkhet,chingad,चिङ्गगाड,rural,61002
659,surkhet,lekabeshi,लेकबेशी,urban,61003
660,surkhet,gurbhakot,गुर्भाकोट,urban,61004
661,surkhet,bheriganga,भेरीगंगा,urban,61005
662,surkhet,birendranagar,बीरेन्द्रनगर,urban,61006
663,surkhet,barahatal,बराहताल,rural,61007
664,surkhet,panchapuri,पञ्चपुरी,urban,61008
665,surkhet,chaukune,चौकुने,rural,61009
666,bajura,himali,हिमाली,rural,70101
667,bajura,gaumul,गौमुल,rural,70102
668,bajura,budhinanda,बुढीनन्दा,urban,70103
669,bajura,swamikartik khapar,स्वामीकार्तिक खापर,rural,70104
670,bajura,jagannath,जगन्‍नाथ,rural,70105
671,bajura,badimalika,बडिमालिका,urban,70106
672,bajura,khaptad chhededaha,खप्तड छेडेदह,rural,70107
673,bajura,budhiganga,बुढीगंगा,urban,70108
674,bajura,tribeni,त्रिवेणी,urban,70109
675,bajhang,saipal,साइपाल,rural,70201
676,bajhang,bungal,बुंगल,urban,70202
677,bajhang,surma,सूर्मा,rural,70203
678,bajhang,talkot,तालकोट,rural,70204
679,bajhang,masta,मष्टा,rural,70205
680,bajhang,jayaprithbi,जयपृथ्वी,urban,70206
681,bajhang,chhabis pathibhara,छबिस पाथिभरा,rural,70207
682,bajhang,durgathali,दुर्गाथली,rural,70208
683,bajhang,kedarsyun,केदारस्युँ,rural,70209
684,bajhang,bitthadchir,बित्थडचिर,rural,70210
685,bajhang,thalara,थलारा,rural,70211
686,bajhang,khaptad chhanna,खप्तडछान्ना,rural,70212
687,darchula,byas,ब्याँस,rural,70301
688,darchula,duhun,दुहुँ,rural,70302
689,darchula,mahakali,महाकाली,urban,70303
690,darchula,naugad ,नौगाड,rural,70304
691,darchula,apihimal,अपिहिमाल,rural,70305
692,darchula,marma,मार्मा,rural,70306
693,darchula,shailyashikhar,शैल्यशिखर,urban,70307
694,darchula,malikarjun,मालिकार्जुन,rural,70308
695,darchula,lekam,लेकम,rural,70309
696,baitadi,dilasaini,डीलासैनी,rural,70401
697,baitadi,dogada kedar,दोगडाकेदार,rural,70402
698,baitadi,puchaundi,पुचौंडी,urban,70403
699,baitadi,surnaya,सुर्नया,rural,70404
700,baitadi,dasharathchand,दशरथचन्द,urban,70405
701,baitadi,pancheshwor,पन्चेश्वर,rural,70406
702,baitadi,shivanath,शिवनाथ,rural,70407
703,baitadi,melauli,मेलौली,urban,70408
704,baitadi,patan,पाटन,urban,70409
705,baitadi,sigas,सिगास,rural,70410
706,dadeldhura,nawadurga,नवदुर्गा,rural,70501
707,dadeldhura,amargadhi,अमरगढी,urban,70502
708,dadeldhura,ajayameru,अजयमेरु,rural,70503
709,dadeldhura,bhageshwor,भागेश्वर,rural,70504
710,dadeldhura,parashuram,परशुराम,urban,70505
711,dadeldhura,aalital,आलिताल,rural,70506
712,dadeldhura,ganyapdhura,गन्यापधुरा,rural,70507
713,doti,purbichouki,पुर्विचौकी,rural,70601
714,doti,sayal,सायल,rural,70602
715,doti,aadarsha,आदर्श,rural,70603
716,doti,shikhar,शिखर,urban,70604
717,doti,dipayal silgadhi,दिपायल सिलगढी,urban,70605
718,doti,k.i. singh,के.आई.सिं.,rural,70606
719,doti,bogatan phudsil,बोगटान फुड्सिल,rural,70607
720,doti,badi kedar,बडीकेदार,rural,70608
721,doti,jorayal,जोरायल,rural,70609
722,achham,panchdebal binayak,पंचदेवल बिनायक,urban,70701
723,achham,ramaroshan,रामारोशन,rural,70702
724,achham,mellekh,मेल्लेख,rural,70703
725,achham,sanphebagar,साँफेबगर,urban,70704
726,achham,chaurpati,चौरपाटी,rural,70705
727,achham,mangalsen,मंगलसेन,urban,70706
728,achham,bannigadhi jayagadh,बान्नीगढी जयगढ,rural,70707
729,achham,kamal bazar,कमलबजार,urban,70708
730,achham,dhakari,ढकारी,rural,70709
731,achham,turmakhand,तुर्माखाँद,rural,70710
732,kailali,mohanyal,मोहन्याल,rural,70801
733,kailali,chure,चुरे,rural,70802
734,kailali,godawari,गोदावरी,urban,70803
735,kailali,gauriganga,गौरीगंगा,urban,70804
736,kailali,ghodaghodi,घोडाघोडी,urban,70805
737,kailali,bardagoriya,बर्दगोरिया,rural,70806
738,kailali,lamki chuha,लम्कि चुहा,urban,70807
739,kailali,janaki,जानकी,rural,70808
740,kailali,joshipur,जोशीपुर,rural,70809
741,kailali,tikapur,टिकापुर,urban,70810
742,kailali,bhajani,भजनी,urban,70811
743,kailali,kailari,कैलारी,rural,70812
744,kailali,dhangadhi,धनगढी,sub-metropolitian,70813
745,kanchanpur,krishnapur,कृष्णपुर,urban,70901
746,kanchanpur,shuklaphanta,शुक्लाफाँटा,urban,70902
747,kanchanpur,bedkot,बेदकोट,urban,70903
748,kanchanpur,bhimdatta,भिमदत्त,urban,70904
749,kanchanpur,mahakali,महाकाली,urban,70905
750,kanchanpur,laljhadi,लालझाडी,rural,70906
751,kanchanpur,punarbas,पुनर्वास,urban,70907
752,kanchanpur,belouri,बेलौरी,urban,70908
753,kanchanpur,beldandi,बेलडाँडी,rural,70909
